flat_type,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking,Flat_price
2,Mira Road East,650,modern property,Unfurnished,2,2,0,1,12500
4,Powai,2750,modern property,Semi Furnished,4,4,2,1,97500
3,Andheri West,1550,new construction,Unfurnished,3,3,1,1,34000
2,Wadala,850,recent construction,Semi Furnished,2,2,0,1,26200
2,Kandivali West,750,recent construction,Unfurnished,1,1,0,1,17000
4,Santacruz West,2731,recent construction,Semi Furnished,4,4,0,1,165000
2,Bhandup West,800,new construction,Unfurnished,2,2,0,1,16000
3,Malad West,988,recent construction,Fully Furnished,3,3,0,1,22500
3,Andheri West,1250,recent construction,Semi Furnished,3,3,0,1,31500
3,Mulund West,1350,new construction,Unfurnished,3,3,1,1,35000
4,Santacruz West,2000,modern property,Fully Furnished,4,3,1,1,72500
4,Wadala,2420,recent construction,Semi Furnished,4,5,0,1,57000
1,Virar West,650,new construction,Unfurnished,1,2,1,0,4200
3,Goregaon East,1400,recent construction,Fully Furnished,3,3,1,1,11100
2,Mira Road East,915,new construction,Semi Furnished,2,2,3,1,14500
3,Chembur,1213,new construction,Unfurnished,3,3,0,1,34000
2,Vile Parle West,700,modern property,Fully Furnished,2,2,0,1,23000
2,Jogeshwari West,950,modern property,Semi Furnished,2,2,0,1,24000
1,Nalasopara West,600,recent construction,Semi Furnished,1,1,2,1,3000
4,Agripada,2300,recent construction,Semi Furnished,4,3,0,1,65000
3,Mahalakshmi,1403,new construction,Unfurnished,3,3,1,1,49000
3,Mira Road East,1665,recent construction,Semi Furnished,3,3,2,1,19900
2,Chembur,700,recent construction,Unfurnished,2,2,0,1,18500
4,Goregaon West,3000,modern property,Semi Furnished,4,4,3,1,80000
3,Andheri West,1450,new construction,Unfurnished,3,3,0,1,54900
1,Kandivali West,550,recent construction,Semi Furnished,1,2,1,0,13000
2,Powai,950,recent construction,Semi Furnished,2,2,1,1,35000
3,Byculla,1800,recent construction,Semi Furnished,3,3,1,1,60000
3,Vile Parle East,1050,recent construction,Semi Furnished,3,3,1,1,37000
2,Nalasopara West,940,recent construction,Semi Furnished,2,1,2,1,4200
1,Kandivali East,500,new construction,Semi Furnished,1,2,0,1,12500
1,Kandivali West,600,recent construction,Semi Furnished,1,2,0,0,11500
3,Chembur,1380,new construction,Semi Furnished,3,2,0,1,37000
1,Matunga East,580,new construction,Semi Furnished,1,2,1,1,25000
1,Parel,660,modern property,Semi Furnished,1,2,2,1,21000
2,Goregaon East,850,recent construction,Unfurnished,2,2,0,1,24800
3,Kandivali East,1330,modern property,Unfurnished,3,3,0,1,26000
2,Borivali East,980,modern property,Fully Furnished,2,2,0,1,18000
3,Santacruz West,1100,modern property,Semi Furnished,3,1,0,1,60000
2,Kandivali East,1250,new construction,Unfurnished,2,2,0,1,22000
2,Kanjurmarg East,895,new construction,Unfurnished,2,2,0,1,24000
1,Nalasopara West,595,recent construction,Semi Furnished,1,2,1,1,2900
5,Goregaon East,2800,recent construction,Fully Furnished,5,5,0,1,67500
2,Malad West,940,modern property,Semi Furnished,2,2,0,1,21000
1,Naigaon East,535,new construction,Unfurnished,1,3,0,1,3100
3,Malad West,1600,recent construction,Unfurnished,3,3,2,1,62500
1,Mulund West,550,modern property,Unfurnished,1,1,0,1,10900
3,Powai,1400,recent construction,Semi Furnished,3,2,1,1,32000
2,Naigaon East,835,recent construction,Unfurnished,2,1,3,1,4200
1,Mahalakshmi,525,recent construction,Semi Furnished,1,1,0,0,13200
2,Andheri West,825,recent construction,Unfurnished,2,2,0,1,23000
2,Thane West,700,recent construction,Semi Furnished,2,2,2,1,5600
3,Mulund West,1351,new construction,Unfurnished,3,3,0,1,44500
3,Powai,1513,recent construction,Unfurnished,3,3,1,1,39000
1,Mira Road East,469,new construction,Unfurnished,1,2,0,1,8500
2,Nalasopara West,880,recent construction,Semi Furnished,2,1,0,1,6000
3,Powai,1250,mid age property,Semi Furnished,3,3,1,1,25500
2,Powai,850,recent construction,Unfurnished,2,2,2,1,19300
1,Mulund West,550,new construction,Semi Furnished,1,2,0,1,11500
1,Bhandup East,720,recent construction,Semi Furnished,1,2,0,1,11600
4,Andheri West,1500,recent construction,Semi Furnished,4,3,0,1,40000
3,Powai,1890,recent construction,Semi Furnished,3,3,1,1,90000
1,Kandivali West,421,recent construction,Unfurnished,1,2,0,0,5500
1,Jogeshwari East,500,new construction,Fully Furnished,1,2,0,1,13800
2,Kandivali East,885,new construction,Semi Furnished,2,2,0,1,19500
3,Bandra West,1200,recent construction,Unfurnished,2,2,0,1,47500
2,Wadala East,1491,recent construction,Semi Furnished,2,2,0,1,31000
3,Mira Road East,1395,recent construction,Semi Furnished,3,3,2,1,17500
3,Chembur,865,recent construction,Semi Furnished,3,3,0,1,28500
1,Kandivali East,400,recent construction,Unfurnished,1,1,0,1,7000
1,Bhayandar West,600,modern property,Semi Furnished,1,1,0,1,7600
4,Worli,2290,recent construction,Semi Furnished,4,4,1,1,175000
2,Malad West,1170,recent construction,Semi Furnished,2,2,1,1,23000
3,Chembur,1300,recent construction,Fully Furnished,3,2,0,1,24900
2,Powai,1050,recent construction,Semi Furnished,2,2,0,1,26500
2,Bhandup West,600,modern property,Semi Furnished,2,2,0,1,12000
2,Andheri East,616,new construction,Unfurnished,2,2,0,1,11100
2,Mira Road East,700,recent construction,Semi Furnished,2,2,3,1,8500
3,Santacruz East,1600,new construction,Fully Furnished,3,3,1,1,27000
2,Powai,885,modern property,Unfurnished,2,2,1,0,17800
2,Powai,1300,new construction,Semi Furnished,2,2,1,1,31500
4,Andheri West,3000,recent construction,Fully Furnished,4,3,0,1,165000
1,Lower Parel,550,new construction,Unfurnished,1,2,0,0,6200
3,Goregaon West,1200,new construction,Unfurnished,3,3,2,1,40000
3,Borivali East,1450,modern property,Semi Furnished,3,3,3,1,33000
2,Powai,1285,recent construction,Semi Furnished,2,2,3,1,24500
2,Kandivali East,1120,recent construction,Unfurnished,2,3,0,1,19500
3,Kanjurmarg East,1235,recent construction,Semi Furnished,3,3,0,1,31000
1,Goregaon East,610,new construction,Unfurnished,1,2,0,1,13800
1,Virar West,530,recent construction,Semi Furnished,1,1,0,1,3500
1,Mira Road East,645,recent construction,Unfurnished,1,2,3,1,5800
1,Malad West,500,new construction,Unfurnished,1,2,0,1,8400
3,Goregaon West,1440,recent construction,Semi Furnished,3,1,0,1,35000
3,Andheri East,1360,recent construction,Unfurnished,3,3,1,1,21400
4,Powai,3024,recent construction,Semi Furnished,4,4,1,1,105000
2,Vasai West,975,recent construction,Unfurnished,2,3,0,1,6800
2,Chembur,880,recent construction,Unfurnished,2,2,0,1,21000
2,Mira Road East,865,recent construction,Semi Furnished,2,2,2,1,11000
2,Nalasopara West,880,recent construction,Semi Furnished,2,1,3,1,5100
2,Mira Road East,1105,recent construction,Fully Furnished,2,2,4,1,13000
2,Goregaon East,920,modern property,Semi Furnished,2,2,0,0,7500
2,Bhayandar East,900,recent construction,Fully Furnished,2,2,3,1,9000
2,Jogeshwari West,800,recent construction,Semi Furnished,2,3,2,0,15500
2,Mira Road East,896,new construction,Unfurnished,2,2,2,1,12500
2,Dahisar West,945,modern property,Unfurnished,2,2,0,1,18500
1,Mira Road East,981,recent construction,Unfurnished,1,2,3,1,7500
3,Malad West,1100,modern property,Semi Furnished,3,3,1,1,22100
4,Lower Parel,2319,new construction,Unfurnished,4,5,0,1,100000
1,Mira Road East,762,new construction,Semi Furnished,1,2,0,1,8200
2,Kandivali West,850,modern property,Unfurnished,2,2,0,0,14000
1,Wadala East,463,modern property,Semi Furnished,1,1,0,0,12000
4,Mulund West,2400,recent construction,Fully Furnished,4,1,0,1,48000
2,Bandra East,1000,recent construction,Semi Furnished,2,2,0,1,29000
2,Kandivali West,850,recent construction,Unfurnished,2,2,1,1,14900
1,Mulund East,500,mid age property,Semi Furnished,1,2,0,1,10500
3,Borivali East,1088,recent construction,Unfurnished,3,3,0,1,26000
2,Wadala East,910,modern property,Semi Furnished,2,2,0,0,15500
1,Mira Road East,620,recent construction,Semi Furnished,1,2,1,1,6800
3,Andheri West,2300,modern property,Semi Furnished,3,3,0,1,100000
2,Borivali East,1180,modern property,Fully Furnished,2,2,0,1,21000
3,Dahisar West,1360,new construction,Fully Furnished,3,3,3,1,30000
1,Kandivali East,525,modern property,Semi Furnished,1,1,0,1,10000
2,Chembur,1100,new construction,Unfurnished,2,2,0,1,19500
2,Goregaon West,850,recent construction,Unfurnished,2,2,1,1,13500
6,Santacruz West,2100,modern property,Semi Furnished,6,6,2,1,140000
2,Powai,1000,recent construction,Semi Furnished,2,2,0,1,16000
4,Parel,3100,recent construction,Unfurnished,4,2,4,1,115000
1,Mira Road East,700,recent construction,Unfurnished,1,2,3,0,7000
1,Mira Road East,590,new construction,Semi Furnished,1,2,2,1,9500
2,Santacruz East,950,new construction,Semi Furnished,2,2,0,1,31500
2,Bhayandar East,880,recent construction,Semi Furnished,2,2,3,1,9500
2,Malad West,1200,recent construction,Fully Furnished,2,2,1,1,30000
2,Bandra West,650,recent construction,Unfurnished,2,2,0,1,18500
1,Kandivali West,420,recent construction,Unfurnished,1,1,0,0,5200
3,Andheri West,1500,mid age property,Semi Furnished,3,1,0,1,60000
1,Kurla West,505,new construction,Semi Furnished,1,1,0,1,10000
2,Santacruz East,955,recent construction,Unfurnished,2,2,3,1,21000
1,Andheri East,525,new construction,Unfurnished,1,2,0,1,12000
1,Sion,600,recent construction,Semi Furnished,1,1,2,1,16000
1,Kanjurmarg East,475,recent construction,Semi Furnished,1,2,0,1,8800
1,Mira Road East,760,new construction,Fully Furnished,1,2,2,1,7100
4,Bhandup West,1750,recent construction,Semi Furnished,4,4,4,1,39900
1,Mira Road East,700,recent construction,Fully Furnished,1,2,2,1,6800
3,Bhandup West,1475,recent construction,Unfurnished,3,2,4,1,31000
1,Nalasopara West,610,new construction,Semi Furnished,1,1,2,1,2900
2,Chembur,780,new construction,Unfurnished,2,1,0,1,22500
2,Mira Road East,950,recent construction,Semi Furnished,2,2,1,1,10000
1,Byculla,837,new construction,Unfurnished,1,2,1,0,13500
2,Andheri West,1100,modern property,Fully Furnished,2,2,0,1,22500
2,Sion,775,recent construction,Fully Furnished,2,2,0,1,23500
3,Malad West,1100,recent construction,Semi Furnished,3,3,2,1,37400
2,Kandivali East,700,recent construction,Semi Furnished,2,2,0,1,19500
4,Ghatkopar East,1440,new construction,Unfurnished,4,3,0,1,38000
1,Mira Road East,700,recent construction,Unfurnished,1,2,2,1,7500
1,Mira Road East,680,modern property,Semi Furnished,1,2,1,1,6500
3,Borivali East,1500,new construction,Semi Furnished,3,3,0,1,46500
1,Powai,630,new construction,Semi Furnished,1,2,0,1,15000
2,Borivali West,948,new construction,Unfurnished,2,2,0,1,19900
2,Lower Parel,1150,recent construction,Semi Furnished,2,2,0,1,47500
2,Mira Road East,995,recent construction,Semi Furnished,2,2,3,1,12400
2,Ghatkopar East,1000,new construction,Semi Furnished,2,2,1,1,18000
2,Sion,720,recent construction,Unfurnished,2,2,2,0,27500
3,Andheri West,1400,recent construction,Unfurnished,3,3,3,1,41100
3,Kurla West,1200,modern property,Semi Furnished,3,2,4,1,29000
4,Mulund West,2406,recent construction,Semi Furnished,4,4,0,1,47000
2,Kandivali East,875,recent construction,Semi Furnished,2,2,0,1,20500
4,Prabhadevi,3250,recent construction,Fully Furnished,4,4,4,1,145000
3,Mulund West,1225,recent construction,Semi Furnished,3,3,1,1,26300
2,Borivali West,850,recent construction,Semi Furnished,2,2,0,1,15000
2,Wadala East,955,modern property,Semi Furnished,2,2,0,1,19200
2,Malad West,1020,recent construction,Unfurnished,2,2,0,1,14800
2,Mulund West,850,modern property,Semi Furnished,2,2,0,1,13500
1,Mira Road East,550,new construction,Unfurnished,1,1,2,1,6300
3,Mulund West,1450,new construction,Unfurnished,3,2,1,1,34000
4,Andheri West,3300,recent construction,Semi Furnished,4,4,4,1,125000
3,Mulund West,1100,new construction,Unfurnished,3,3,0,1,20900
2,Mulund East,1000,recent construction,Semi Furnished,2,2,0,1,19700
4,Mira Road East,1500,recent construction,Semi Furnished,4,3,4,1,17500
2,Nalasopara East,1080,recent construction,Semi Furnished,2,2,3,1,7400
2,Powai,1125,recent construction,Semi Furnished,2,2,0,1,20500
2,Bandra West,900,modern property,Unfurnished,2,2,1,1,55000
2,Andheri East,920,modern property,Semi Furnished,2,2,0,1,29500
2,Andheri West,705,new construction,Fully Furnished,2,2,0,1,25000
3,Chembur,1466,recent construction,Semi Furnished,3,3,0,1,30000
3,Prabhadevi,1200,new construction,Unfurnished,3,3,0,1,45900
1,Virar West,630,recent construction,Semi Furnished,1,2,1,1,3000
1,Nalasopara West,585,new construction,Semi Furnished,1,1,2,1,2400
3,Kanjurmarg East,1500,new construction,Unfurnished,3,2,1,1,33000
3,Powai,1250,recent construction,Semi Furnished,3,3,1,1,44000
2,Kanjurmarg West,1200,recent construction,Semi Furnished,2,2,0,1,21000
2,Mulund West,707,new construction,Semi Furnished,2,2,0,1,14000
3,Sion,1100,recent construction,Semi Furnished,3,2,2,1,53500
2,Jogeshwari West,950,recent construction,Semi Furnished,2,2,1,1,23000
3,Powai,1400,recent construction,Semi Furnished,3,2,1,1,32500
3,Powai,2600,recent construction,Semi Furnished,3,3,2,1,70000
3,Mulund West,1250,recent construction,Unfurnished,3,3,1,1,32500
2,Powai,956,modern property,Fully Furnished,2,2,0,1,23500
2,Kurla East,708,recent construction,Semi Furnished,2,2,0,1,10900
2,Powai,970,recent construction,Semi Furnished,2,2,0,1,19300
2,Colaba,1060,modern property,Semi Furnished,2,2,0,1,55000
3,Chembur,1400,recent construction,Semi Furnished,3,3,0,1,37500
2,Virar West,970,recent construction,Semi Furnished,2,2,1,1,4900
3,Mulund East,950,recent construction,Unfurnished,3,3,0,1,21000
1,Kandivali East,525,modern property,Semi Furnished,1,2,0,1,9300
3,Andheri West,1900,new construction,Unfurnished,3,3,0,1,35000
2,Virar West,1050,recent construction,Semi Furnished,2,2,3,1,4400
2,Kamathipura,1455,modern property,Semi Furnished,2,2,0,1,37500
1,Wadala East,500,recent construction,Semi Furnished,1,1,0,1,10000
2,Powai,1100,recent construction,Unfurnished,2,2,1,1,24000
2,Mira Road East,1150,new construction,Semi Furnished,2,2,2,1,14000
3,Kandivali West,1350,mid age property,Unfurnished,3,3,0,1,23000
2,Malad West,1020,recent construction,Unfurnished,2,2,0,1,15500
3,Chembur,850,new construction,Unfurnished,3,3,0,1,20000
1,Mira Road East,747,new construction,Unfurnished,1,2,3,1,7000
1,Borivali West,600,mid age property,Unfurnished,1,2,0,1,12000
1,Virar West,750,recent construction,Semi Furnished,1,1,0,1,3300
2,Chembur,960,new construction,Unfurnished,2,2,0,1,19000
2,Borivali East,850,recent construction,Semi Furnished,2,2,0,1,18000
3,Malad West,1020,mid age property,Semi Furnished,3,2,0,1,22400
3,Dadar West,1450,recent construction,Fully Furnished,3,3,1,1,65000
2,Malad West,850,recent construction,Semi Furnished,2,2,2,1,21500
3,Andheri West,1650,modern property,Semi Furnished,3,3,0,1,45000
3,Bandra East,1350,new construction,Unfurnished,3,3,0,0,40000
2,Kandivali East,1000,recent construction,Semi Furnished,2,2,0,1,16900
3,Chembur,1200,recent construction,Unfurnished,3,3,0,1,25000
3,Vikhroli East,1880,recent construction,Semi Furnished,3,3,1,1,51800
3,Kandivali East,1750,recent construction,Unfurnished,3,3,3,1,36500
4,Mulund West,2200,recent construction,Fully Furnished,4,2,0,1,45000
1,Goregaon East,545,recent construction,Unfurnished,1,1,1,1,8500
3,Borivali East,1367,new construction,Semi Furnished,3,3,0,1,39500
2,Sion,1250,recent construction,Fully Furnished,2,2,3,1,28000
3,Goregaon East,827,recent construction,Fully Furnished,3,2,0,1,24100
2,Bhayandar West,950,modern property,Semi Furnished,2,1,0,1,12500
1,Mulund East,500,recent construction,Semi Furnished,1,2,0,0,11000
3,Goregaon West,1800,recent construction,Fully Furnished,3,3,2,1,57500
1,Mira Road East,500,recent construction,Unfurnished,1,2,0,1,4700
3,Kandivali West,1250,modern property,Fully Furnished,3,3,0,1,22500
2,Mira Road East,1030,recent construction,Unfurnished,2,4,0,1,11000
2,Mira Road East,882,recent construction,Unfurnished,2,2,3,1,7600
1,Goregaon East,545,recent construction,Fully Furnished,1,1,1,1,5600
2,Borivali West,650,recent construction,Unfurnished,2,2,0,1,16000
1,Sion,630,recent construction,Semi Furnished,1,1,2,1,18000
2,Kandivali East,1012,recent construction,Unfurnished,2,2,1,1,25000
2,Mira Road East,1050,recent construction,Semi Furnished,2,2,3,1,8000
3,Kandivali East,1050,modern property,Unfurnished,3,3,0,1,27800
1,Malad West,675,recent construction,Fully Furnished,1,2,1,1,11500
3,Thane West,1124,recent construction,Semi Furnished,3,3,1,1,13500
1,Thane West,465,recent construction,Semi Furnished,1,2,0,1,5500
1,Mira Road East,550,recent construction,Unfurnished,1,2,0,1,4800
3,Kandivali West,1600,new construction,Unfurnished,3,3,3,1,22500
1,Virar West,600,recent construction,Unfurnished,1,2,1,1,5000
3,Bandra West,1650,recent construction,Semi Furnished,3,3,0,1,82500
3,Lower Parel,1150,new construction,Fully Furnished,3,3,0,1,67000
1,Vikhroli East,590,recent construction,Semi Furnished,1,2,1,1,17000
2,Malad West,1100,recent construction,Semi Furnished,2,2,1,1,27500
4,Andheri East,1866,recent construction,Semi Furnished,4,4,0,1,47300
1,Nalasopara West,600,recent construction,Semi Furnished,1,2,1,1,2900
1,Malad West,540,modern property,Unfurnished,1,2,0,1,8000
3,Matunga East,1100,recent construction,Semi Furnished,3,3,0,1,55000
3,Goregaon East,1900,recent construction,Semi Furnished,3,1,0,1,70000
3,Santacruz West,2001,recent construction,Semi Furnished,3,3,0,1,110000
3,Mulund West,1050,new construction,Semi Furnished,3,2,0,1,28000
1,Naigaon East,570,new construction,Semi Furnished,1,2,2,1,3500
1,Mira Road East,725,new construction,Unfurnished,1,2,0,1,6800
2,Mulund West,950,recent construction,Semi Furnished,2,2,0,0,19800
2,Bhandup West,700,recent construction,Unfurnished,2,2,0,1,11500
2,Andheri East,712,new construction,Unfurnished,2,2,0,1,17000
2,Mira Road East,1000,recent construction,Semi Furnished,2,2,2,1,9500
1,Mira Road East,685,recent construction,Semi Furnished,1,2,2,1,5800
3,Khar West,2000,recent construction,Unfurnished,3,3,2,1,82500
3,Mira Road East,936,recent construction,Unfurnished,3,3,3,1,12000
1,Malad West,650,recent construction,Semi Furnished,1,1,0,1,11500
3,Govandi,1660,recent construction,Semi Furnished,3,4,0,1,55000
1,Kurla West,500,recent construction,Semi Furnished,1,1,0,1,7500
3,Sion,1350,recent construction,Fully Furnished,3,2,4,1,47500
2,Virar West,910,new construction,Semi Furnished,2,2,1,1,4700
2,Thane West,950,recent construction,Unfurnished,2,2,2,1,9000
2,Kurla West,835,modern property,Semi Furnished,2,2,3,1,20000
2,Naigaon East,650,recent construction,Unfurnished,2,2,2,1,4900
1,Andheri East,650,recent construction,Unfurnished,1,2,0,1,13500
1,Nalasopara West,660,recent construction,Unfurnished,1,1,1,1,2600
2,Kandivali East,623,new construction,Unfurnished,2,2,0,1,20500
2,Kanjurmarg West,661,new construction,Semi Furnished,2,2,0,1,16800
1,Bandra West,750,modern property,Semi Furnished,1,1,0,1,40000
1,Vikhroli East,393,new construction,Semi Furnished,1,2,0,0,8500
2,Borivali West,1050,new construction,Unfurnished,2,2,0,1,21700
2,Wadala East,610,new construction,Unfurnished,2,2,0,1,16000
1,Nalasopara West,650,new construction,Semi Furnished,1,2,1,1,3500
4,Powai,2200,recent construction,Semi Furnished,4,4,0,1,103900
2,Virar West,900,new construction,Semi Furnished,2,2,3,1,6900
3,Bhandup West,1230,recent construction,Semi Furnished,3,3,0,1,27500
1,Virar West,550,new construction,Semi Furnished,1,2,2,1,4000
1,Naigaon East,580,recent construction,Semi Furnished,1,1,3,0,3300
4,Byculla,3420,new construction,Unfurnished,4,1,0,1,145000
1,Mira Road East,756,new construction,Semi Furnished,1,2,3,1,7000
2,Kandivali East,800,modern property,Semi Furnished,2,2,0,1,15000
3,Kandivali East,1375,modern property,Unfurnished,3,3,0,1,32000
2,Mulund East,910,mid age property,Semi Furnished,2,2,0,0,16800
1,Kandivali East,575,modern property,Fully Furnished,1,2,0,1,10500
2,Wadala,950,modern property,Semi Furnished,2,2,0,1,38000
4,Goregaon West,3780,modern property,Semi Furnished,4,5,4,1,115000
3,Lower Parel,1950,recent construction,Semi Furnished,3,4,0,1,85000
1,Borivali West,550,mid age property,Semi Furnished,1,2,0,1,10000
3,Andheri West,1350,recent construction,Semi Furnished,3,3,0,1,50000
1,Powai,630,modern property,Unfurnished,1,2,0,1,10500
2,Mulund West,781,new construction,Semi Furnished,2,2,0,1,15800
2,Kanjurmarg West,1000,new construction,Semi Furnished,2,2,0,1,17500
4,Malad East,2419,new construction,Semi Furnished,4,4,3,1,47500
2,Mira Road East,1050,modern property,Unfurnished,2,2,4,1,10500
1,Kandivali West,420,recent construction,Unfurnished,1,1,0,0,5400
3,Sion,1100,recent construction,Semi Furnished,3,2,2,1,53000
1,Chembur,440,recent construction,Semi Furnished,1,2,0,1,8700
3,Kanjurmarg East,1637,recent construction,Semi Furnished,3,3,3,1,34800
2,Borivali West,1250,recent construction,Unfurnished,2,2,0,1,18400
2,Malad West,890,recent construction,Unfurnished,2,2,0,1,14900
3,others,1296,recent construction,Unfurnished,3,3,0,1,28000
2,Goregaon East,1077,recent construction,Semi Furnished,2,2,0,1,12900
3,Goregaon East,2190,recent construction,Semi Furnished,3,4,0,1,72400
4,Andheri West,1655,mid age property,Unfurnished,4,4,1,1,36900
2,Kandivali West,1150,modern property,Fully Furnished,2,2,0,1,26000
2,Vikhroli East,743,new construction,Semi Furnished,2,2,0,1,11200
3,Bandra East,1500,recent construction,Semi Furnished,3,3,3,1,68000
2,Powai,968,modern property,Unfurnished,2,2,1,1,19000
4,Bandra West,2100,recent construction,Semi Furnished,4,4,0,1,100000
4,Powai,2790,recent construction,Unfurnished,4,4,3,1,105000
2,Kandivali West,920,modern property,Semi Furnished,2,2,0,1,26000
3,Andheri West,1475,modern property,Semi Furnished,3,3,0,1,33500
3,Parel,1868,recent construction,Semi Furnished,3,3,0,1,55000
2,Worli,895,recent construction,Semi Furnished,2,2,0,1,51500
1,Vasai West,700,new construction,Semi Furnished,1,2,2,1,5100
2,Lower Parel,1050,recent construction,Semi Furnished,2,2,0,1,45500
2,Bhayandar East,1000,recent construction,Fully Furnished,2,3,0,1,9000
1,Nalasopara West,650,new construction,Semi Furnished,1,2,2,0,3000
1,Dadar West,550,recent construction,Fully Furnished,1,2,0,0,22500
2,Malad West,768,recent construction,Unfurnished,2,2,0,1,15900
1,Nalasopara West,565,recent construction,Semi Furnished,1,1,2,1,2800
3,Powai,1450,recent construction,Semi Furnished,3,3,2,1,45000
3,Powai,1250,modern property,Semi Furnished,3,2,2,1,27500
3,Virar West,1075,recent construction,Unfurnished,3,3,1,1,7200
3,Worli,2100,new construction,Semi Furnished,3,3,0,1,85000
2,Jogeshwari West,1030,new construction,Semi Furnished,2,2,0,1,25000
2,Mira Road East,750,recent construction,Semi Furnished,2,2,3,0,11000
1,Mira Road East,650,recent construction,Semi Furnished,1,2,3,1,6300
2,Goregaon East,1290,recent construction,Semi Furnished,2,2,3,1,23500
3,Andheri West,2385,new construction,Unfurnished,3,4,0,1,55000
4,Chembur,2760,modern property,Fully Furnished,4,3,0,1,80000
3,Govandi,950,recent construction,Semi Furnished,3,3,1,1,29500
3,Matunga East,1600,recent construction,Semi Furnished,3,3,0,1,82500
2,Mulund East,698,new construction,Semi Furnished,2,2,0,1,14500
4,Powai,2080,recent construction,Semi Furnished,4,4,1,1,57000
2,Santacruz East,1000,new construction,Unfurnished,2,2,0,1,24000
1,Bhayandar West,770,modern property,Semi Furnished,1,1,0,1,10500
3,Mulund East,1250,modern property,Semi Furnished,3,3,1,1,28000
3,Borivali West,1525,modern property,Fully Furnished,3,2,0,1,32500
2,Kandivali East,835,modern property,Semi Furnished,2,2,0,1,16500
2,Kandivali East,765,modern property,Fully Furnished,2,2,0,1,22500
1,Mira Road East,700,recent construction,Unfurnished,1,2,2,1,6800
3,Vasai West,1080,modern property,Semi Furnished,3,3,0,1,9500
1,Vile Parle West,650,recent construction,Semi Furnished,1,2,0,1,16500
1,Kandivali East,585,modern property,Semi Furnished,1,2,0,1,9000
2,Andheri West,700,mid age property,Unfurnished,2,1,0,1,21500
1,Mira Road East,990,recent construction,Semi Furnished,1,2,2,1,7900
2,Bhandup West,800,new construction,Unfurnished,2,2,0,1,16500
1,Nalasopara West,580,recent construction,Unfurnished,1,2,1,1,2800
3,Kanjurmarg East,1300,new construction,Fully Furnished,3,3,1,1,35000
5,Goregaon West,2100,recent construction,Fully Furnished,5,5,4,1,62500
2,Kandivali West,658,recent construction,Semi Furnished,2,2,3,0,14000
2,Ghatkopar West,850,recent construction,Semi Furnished,2,2,0,1,16000
2,Borivali West,950,recent construction,Semi Furnished,2,2,0,0,14500
2,Thane West,902,recent construction,Unfurnished,2,2,3,1,6900
3,Dahisar West,1100,new construction,Fully Furnished,3,2,0,1,20900
2,Chembur,830,new construction,Unfurnished,2,2,0,1,18500
2,Parel,955,recent construction,Semi Furnished,2,2,0,1,38000
2,Andheri East,950,recent construction,Semi Furnished,2,2,0,0,21500
3,Kanjurmarg East,1481,recent construction,Semi Furnished,3,4,1,1,32900
3,Wadala,1400,modern property,Semi Furnished,3,3,0,1,48500
2,Marine Lines,558,old propert,Unfurnished,1,1,0,1,25000
2,Mira Road East,950,modern property,Unfurnished,2,2,0,1,11200
3,Sion,1300,recent construction,Semi Furnished,3,2,2,1,34500
2,Chembur,1250,recent construction,Semi Furnished,2,2,2,1,16500
1,Vikhroli East,770,recent construction,Semi Furnished,1,1,0,1,17500
2,Borivali West,1250,new construction,Semi Furnished,2,1,0,1,23500
2,Kanjurmarg West,1200,new construction,Semi Furnished,2,2,0,1,19000
1,Borivali West,685,recent construction,Semi Furnished,1,2,2,1,14000
3,Sakinaka,1150,modern property,Semi Furnished,3,2,1,0,20000
2,Sewri,1050,recent construction,Semi Furnished,2,2,0,1,37500
3,Mulund West,1395,modern property,Semi Furnished,3,3,1,1,38000
2,Khar West,950,recent construction,Fully Furnished,2,1,0,1,52000
4,Kandivali East,2480,recent construction,Unfurnished,4,4,0,1,45000
3,Prabhadevi,1500,recent construction,Fully Furnished,3,3,1,1,54500
3,Santacruz West,1700,modern property,Semi Furnished,3,3,0,1,110000
3,Powai,1350,new construction,Semi Furnished,3,3,1,1,36500
2,Kanjurmarg East,1200,new construction,Semi Furnished,2,2,0,1,21500
2,Borivali West,750,recent construction,Fully Furnished,2,3,0,1,20000
2,Sion,1200,recent construction,Semi Furnished,2,2,3,1,33000
3,Mulund West,1060,new construction,Unfurnished,3,3,1,1,30000
3,Andheri West,1550,recent construction,Semi Furnished,3,3,0,1,57500
2,Wadala East,955,modern property,Semi Furnished,2,2,0,1,17000
1,Virar West,564,recent construction,Semi Furnished,1,1,1,1,2800
2,Ghatkopar East,855,new construction,Semi Furnished,2,2,0,1,22000
1,Mulund West,500,mid age property,Semi Furnished,1,1,0,0,9000
2,Tardeo,1209,mid age property,Semi Furnished,2,2,0,1,50000
2,Powai,1250,new construction,Semi Furnished,2,2,1,1,34000
1,Mira Road East,585,recent construction,Unfurnished,1,2,2,0,5300
1,Mira Road East,333,recent construction,Semi Furnished,1,2,0,1,4700
2,Bandra West,1100,recent construction,Semi Furnished,2,2,0,1,55000
3,Chembur,1350,new construction,Unfurnished,3,3,0,1,26000
2,Santacruz East,850,new construction,Unfurnished,2,2,0,1,26000
2,Andheri West,1000,recent construction,Semi Furnished,2,2,2,1,25000
3,Goregaon West,1950,modern property,Unfurnished,3,4,3,1,47500
